San Miguel,23,4,2003,Eryngium vaseyi,,,1,,,,,,,8,,,,,,,,,,
San Miguel,23,4,2003,Euthamia occidentalis,,,,,,,,,,1,,,,,,,,,,
San Miguel,23,4,2003,Frankenia salina,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Geranium dissectum,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Grindelia camporum,,,1,,,,,,,1,1,,,,,,,,,
San Miguel,23,4,2003,Centromadia parryi ssp.australis,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Hordeum br. ssp. br.,,,1,,,,,,,1,,,,,,,,,,
San Miguel,23,4,2003,Hordeum marinum,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Hordeum murinum,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Isocoma menziesii,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Juncus bufonius,,,1,,,,,,,,1,,,,,,,,,
San Miguel,23,4,2003,Juncus occidentalis,,,2,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Juncus phaeocephalus,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Lactuca serriola,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Lolium multiflorum,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Lupinus bicolor,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Lupinus succulentus,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Lythrum hyssopifolium,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Malva parviflora,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Medicago polymorpha,3,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Melilotus sp.?,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Nassella pulchra,,,,,,,,,,1,1,,,,,,,,,
San Miguel,23,4,2003,Oxalis pes-caprae,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Paraphalis incurva,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Phalaris lemmonii,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Plagiobothrys undulates,,,2,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Plantago elongata,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Plantago lanceolata,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Poa annua,1,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Polygonum arenastrum,10,1,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Polypogon monspeliensis,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Psilocarphus brevissimus,,,2,,,,,,,3,,,,,,,,,,
San Miguel,23,4,2003,Rhaphanus sativus,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Rumex acetosella,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Rumex crispus,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Sisyrinchium bellum,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Solanum sp.?,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Sonchus,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Spergularia sp.?,,1,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Stachys ajugoides,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Veronica?Virginica?,,,1,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Vicia sp.,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Vulpia sp.,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,Bare,74,94,86,100,100,100,100,100,100,85,95,100,,,,,,,,
San Miguel,23,4,2003,Thatch,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,unk.,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Alopecurus saccatus,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Ambrosia psylostachya,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Anagalis arvensis,,,1,,,,,,,,,,,,2,,,,,
San Miguel,24,4,2003,Aster subulatus,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Atriplex lentiformes,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Avena barbata,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Avena fatua,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Baccharis pilularis,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Brodiea jolonensis,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Bromus diandrus,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Bromus hordeaceous,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Calystegia macrostegia,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Capsella bursa-pastoris,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Castilleja exserta ,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Centunculus minimus,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Chamomilla suaveolens,,,1,,,,,,,,,,,,1,,,,,
San Miguel,24,4,2003,Chenepode?,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Conyza canadensis,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Coronopus didymus,,,1,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Cotula coronopofolia,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Crassula aquatica,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Cynodon dactylon,,,,,,,,,,,,,,,1,,,,,
San Miguel,24,4,2003,Cyperus strigosus? (nut sedge),,1,1,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Distichlis spicata,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Echinochloa crusgalli,,,1,,,,,,,,,,,,1,,,,,
San Miguel,24,4,2003,Elatine brachysperma,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Eleocharis acicularis,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Eleocharis macrostachya,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Erodium cicutarium,,,,,,,,,,,,,,,,,5,,,
San Miguel,24,4,2003,Eremocarpus setigerus,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Erodium botrys,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Eryngium armatum,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Eryngium vaseyi,,,7,6,,,,,,,,,,1,1,,,,,
San Miguel,24,4,2003,Euthamia occidentalis,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Frankenia salina,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Geranium dissectum,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Grindelia camporum,,,1,,,,,,,,,,,,1,,,,,
San Miguel,24,4,2003,Centromadia parryi ssp.australis,,,11,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Hordeum br. ssp. br.,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Hordeum marinum,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Hordeum murinum,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Juncus bufonius,,,1,,,,,,,,,,,,1,,,,,
San Miguel,24,4,2003,Juncus occidentalis,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Juncus phaeocephalus,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Lactuca serriola,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Lolium multiflorum,,15,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Lupinus bicolor,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Lupinus succulentus,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Lythrum hyssopifolium,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Malva parviflora,,,,,,,,,,,,,,,,1,,,,
San Miguel,24,4,2003,Medicago polymorpha,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Melilotus sp.? (yellow),,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Nassella pulchra,,,,,,,,,,,,,,,1,,,,,
San Miguel,24,4,2003,Oxalis pes-caprae,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Paraphalis incurva,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Phalaris lemmonii,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Plagiobothrys undulates,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Plantago elongata,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Plantago lanceolata,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Poa annua,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Polygonum arenastrum,,,3,,,,,,,,,,,,,,1,,,
San Miguel,24,4,2003,Polypogon monspeliensis,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Psilocarphus brevissimus,,,2,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Raphanus sativus,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Rumex acetosella,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Rumex crispus,,1,,,,,,,,,,,,,1,,,,,
San Miguel,24,4,2003,Sisyrinchium bellum,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Solanum sp.?,,,,,,,,,,,,,,,1,,,,,
San Miguel,24,4,2003,Sonchus,,,1,,,,,,,,,,,,1,,,,,
San Miguel,24,4,2003,Spergularia sp.?,,1,,,,,,,,,,,,,2,,,,,
San Miguel,24,4,2003,Stachys ajugoides,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Veronica?Virginica?,,,,,,,,,,,,,,,1,,,,,
San Miguel,24,4,2003,Vicia sp.,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Vulpia sp.,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,Bare,100,82,66,94,100,100,100,100,100,100,100,100,100,99,84,99,94,,,
San Miguel,24,4,2003,Thatch,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,unk. Grass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
